source,family,T,EL,L
ctrl,poetry_abbasi,-2.837965,0.095238,-2.636377
ctrl,poetry_abbasi,-2.616015,0.066667,-2.637503
ctrl,poetry_abbasi,-3.053759,0.000000,-3.149364
ctrl,poetry_abbasi,-3.031926,0.047619,-2.938731
ctrl,poetry_abbasi,-3.013933,0.000000,-3.128142
ctrl,poetry_abbasi,-2.390430,0.074074,-2.486339
ctrl,poetry_abbasi,-3.157642,0.000000,-3.204721
ctrl,poetry_abbasi,-2.448137,0.115385,-2.344455
ctrl,poetry_abbasi,-2.405703,0.047619,-2.605032
ctrl,poetry_abbasi,-2.641730,0.136364,-2.359946
ctrl,poetry_abbasi,-2.643315,0.060000,-2.679910
ctrl,poetry_abbasi,-2.709227,0.117647,-2.474129
ctrl,poetry_abbasi,-3.066408,0.052632,-2.936159
ctrl,poetry_abbasi,-2.654222,0.183099,-2.171299
ctrl,poetry_abbasi,-2.913534,0.078947,-2.744723
ctrl,poetry_abbasi,-3.053314,0.055556,-2.916963
ctrl,poetry_abbasi,-2.411796,0.155172,-2.158818
ctrl,poetry_abbasi,-2.217594,0.106383,-2.259221
ctrl,poetry_abbasi,-2.320899,0.045455,-2.568887
ctrl,poetry_abbasi,-1.485296,0.071429,-2.015069
ctrl,poetry_abbasi,-2.990042,0.034483,-2.971309
ctrl,poetry_abbasi,-2.807736,0.050000,-2.809316
ctrl,poetry_abbasi,-1.912193,0.116883,-2.052601
ctrl,poetry_abbasi,-2.848288,0.117647,-2.548231
ctrl,poetry_abbasi,-2.001080,0.148148,-1.969311
ctrl,poetry_abbasi,-2.581265,0.082192,-2.554107
ctrl,poetry_abbasi,-2.440739,0.214286,-1.927210
ctrl,poetry_abbasi,-2.476034,0.105263,-2.401618
ctrl,poetry_abbasi,-2.234342,0.166667,-2.016223
ctrl,poetry_abbasi,-2.651143,0.050000,-2.725871
ctrl,poetry_abbasi,-2.683358,0.000000,-2.951985
ctrl,poetry_abbasi,-1.829833,0.375000,-0.930054
ctrl,poetry_abbasi,-3.185818,0.000000,-3.219735
ctrl,poetry_abbasi,-3.427061,0.071429,-3.049791
ctrl,poetry_abbasi,-3.142453,0.071429,-2.898130
ctrl,poetry_abbasi,-3.027922,0.115385,-2.653409
ctrl,poetry_abbasi,-2.714735,0.388889,-1.343556
ctrl,poetry_abbasi,-2.767352,0.103448,-2.564438
ctrl,poetry_abbasi,-2.889522,0.181818,-2.302036
ctrl,poetry_abbasi,-2.338244,0.107143,-2.320337
ctrl,poetry_abbasi,-2.239633,0.150000,-2.088692
ctrl,poetry_abbasi,-2.190441,0.212500,-1.801294
ctrl,poetry_abbasi,-2.925123,0.125000,-2.558447
ctrl,poetry_abbasi,-2.310554,0.086957,-2.389940
ctrl,poetry_abbasi,-2.330142,0.052632,-2.543820
ctrl,poetry_abbasi,-2.458459,0.066667,-2.553545
ctrl,poetry_abbasi,-2.104494,0.083333,-2.295276
ctrl,poetry_abbasi,-2.466910,0.127660,-2.303162
ctrl,poetry_abbasi,-2.922348,0.187500,-2.295784
ctrl,poetry_abbasi,-2.923003,0.065574,-2.805657
ctrl,poetry_abbasi,-2.944994,0.101266,-2.668220
ctrl,poetry_abbasi,-2.854938,0.036585,-2.890528
ctrl,poetry_abbasi,-2.909231,0.062500,-2.811163
ctrl,poetry_abbasi,-3.517894,0.130435,-2.851609
ctrl,poetry_abbasi,-2.566449,0.076923,-2.568229
ctrl,poetry_abbasi,-2.881722,0.055556,-2.825525
ctrl,poetry_abbasi,-3.061366,0.024096,-3.052719
ctrl,poetry_abbasi,-2.521630,0.075758,-2.549217
ctrl,poetry_abbasi,-2.714317,0.058824,-2.722662
ctrl,poetry_abbasi,-1.843781,0.163265,-1.822316
ctrl,poetry_abbasi,-2.875669,0.083333,-2.706217
ctrl,poetry_abbasi,-2.836857,0.150000,-2.406939
ctrl,poetry_abbasi,-2.682871,0.070175,-2.658466
ctrl,poetry_abbasi,-1.637990,0.216667,-1.489493
ctrl,poetry_abbasi,-3.085127,0.105263,-2.726189
ctrl,poetry_abbasi,-3.018268,0.066667,-2.851854
ctrl,poetry_abbasi,-2.722685,0.139535,-2.389832
ctrl,poetry_abbasi,-2.880876,0.045455,-2.867286
ctrl,poetry_abbasi,-3.165368,0.070175,-2.915577
ctrl,poetry_abbasi,-2.814024,0.092308,-2.635865
ctrl,poetry_abbasi,-2.717501,0.081081,-2.631346
ctrl,poetry_abbasi,-2.533178,0.092593,-2.485018
ctrl,poetry_abbasi,-3.312755,0.043478,-3.105683
ctrl,poetry_abbasi,-2.224556,0.119048,-2.210006
ctrl,poetry_abbasi,-2.621452,0.093750,-2.527220
ctrl,poetry_abbasi,-2.239902,0.125000,-2.193309
ctrl,poetry_abbasi,-1.728585,0.238095,-1.448220
ctrl,poetry_abbasi,-2.535716,0.000000,-2.873310
ctrl,poetry_abbasi,-1.283509,0.125000,-1.683669
ctrl,poetry_abbasi,-3.179936,0.041667,-3.042478
ctrl,poetry_abbasi,-2.284910,0.000000,-2.739662
ctrl,poetry_abbasi,-2.232154,0.071429,-2.413053
ctrl,poetry_abbasi,-2.777566,0.100000,-2.584292
ctrl,poetry_abbasi,-2.315915,0.171429,-2.039792
ctrl,poetry_abbasi,-2.205762,0.062500,-2.436301
ctrl,poetry_abbasi,-3.114492,0.081967,-2.839189
ctrl,poetry_abbasi,-2.734257,0.071429,-2.680612
ctrl,poetry_abbasi,-2.562920,0.142857,-2.290813
ctrl,poetry_abbasi,-2.673744,0.025000,-2.842389
ctrl,poetry_abbasi,-2.689373,0.074074,-2.645639
ctrl,poetry_abbasi,-1.967099,0.071429,-2.271811
ctrl,poetry_abbasi,-2.910970,0.097561,-2.665572
ctrl,poetry_abbasi,-2.863756,0.185185,-2.274235
ctrl,poetry_abbasi,-2.899229,0.058824,-2.821197
ctrl,poetry_abbasi,-2.290439,0.162162,-2.064940
ctrl,poetry_abbasi,-3.352895,0.027027,-3.195822
ctrl,poetry_abbasi,-2.956937,0.000000,-3.097769
ctrl,poetry_abbasi,-2.743362,0.055556,-2.751796
ctrl,poetry_abbasi,-2.396782,0.133333,-2.242082
ctrl,poetry_abbasi,-2.482379,0.052632,-2.624944
ctrl,poetry_abbasi,-3.239098,0.117647,-2.756485
ctrl,poetry_abbasi,-2.166398,0.090909,-2.296605
ctrl,poetry_abbasi,-2.258627,0.130435,-2.180575
ctrl,poetry_abbasi,-3.021974,0.037736,-2.974730
ctrl,poetry_abbasi,-3.031871,0.096154,-2.735878
ctrl,poetry_abbasi,-2.917796,0.157895,-2.417077
ctrl,poetry_abbasi,-2.602641,0.153846,-2.266057
ctrl,poetry_abbasi,-2.821667,0.026316,-2.915715
ctrl,poetry_abbasi,-2.954424,0.062500,-2.835246
ctrl,poetry_abbasi,-2.488791,0.147059,-2.233753
ctrl,poetry_abbasi,-2.990278,0.098361,-2.704491
ctrl,poetry_abbasi,-2.135635,0.034483,-2.516015
ctrl,poetry_abbasi,-2.389996,0.066667,-2.517063
ctrl,poetry_abbasi,-1.063997,0.111111,-1.624737
ctrl,poetry_abbasi,-2.638670,0.045455,-2.738220
ctrl,poetry_abbasi,-2.193884,0.066667,-2.412559
ctrl,poetry_abbasi,-2.592668,0.105263,-2.463769
ctrl,poetry_abbasi,-1.773326,0.147059,-1.852499
ctrl,poetry_abbasi,-2.790383,0.214286,-2.113526
ctrl,poetry_abbasi,-2.748618,0.055556,-2.754597
ctrl,poetry_abbasi,-2.307751,0.096774,-2.347418
ctrl,poetry_abbasi,-2.535275,0.076923,-2.551617
ctrl,poetry_abbasi,-2.443500,0.086957,-2.460784
ctrl,poetry_abbasi,-1.491466,0.066667,-2.038257
ctrl,poetry_abbasi,-2.267649,0.125000,-2.208094
ctrl,poetry_abbasi,-2.648974,0.074074,-2.624111
ctrl,poetry_abbasi,-2.001437,0.192308,-1.784961
ctrl,poetry_abbasi,-3.134035,0.063830,-2.925399
ctrl,poetry_abbasi,-3.197320,0.061224,-2.970010
ctrl,poetry_abbasi,-3.148336,0.023256,-3.102577
ctrl,poetry_abbasi,-2.483206,0.200000,-2.009538
ctrl,poetry_abbasi,-2.220826,0.122449,-2.193804
ctrl,poetry_abbasi,-2.148715,0.111111,-2.202758
ctrl,poetry_abbasi,-3.108587,0.000000,-3.178580
ctrl,poetry_abbasi,-3.178921,0.105263,-2.776169
ctrl,poetry_abbasi,-3.178921,0.105263,-2.776169
ctrl,poetry_abbasi,-3.039995,0.000000,-3.142029
ctrl,poetry_abbasi,-2.735800,0.117647,-2.488289
ctrl,poetry_abbasi,-2.715049,0.085106,-2.613217
ctrl,poetry_abbasi,-2.507195,0.062500,-2.596928
ctrl,poetry_abbasi,-2.778177,0.222222,-2.073856
ctrl,poetry_abbasi,-2.099646,0.307692,-1.355107
ctrl,poetry_abbasi,-2.668583,0.065574,-2.670083
ctrl,poetry_abbasi,-2.280957,0.142857,-2.140562
